bin   short   long    flux        O2         CO2        H2O       C2H2        C2H4        HCN       NH3       CH3OH     CH3CHO      N2H4       CH3CN      OCS        CH4       C2H6         H2         NO         N2         CO
 98   1157   1163   7.84E+07   5.00E-19   1.00E-19   2.00E-18   4.00E-17   1.00E-17   3.00E-17   1.00E-17   5.00E-18   2.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   3.13E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 99   1163   1170   1.03E+08   5.00E-19   1.00E-19   5.00E-18   4.00E-17   1.00E-17   3.00E-17   1.00E-17   5.00E-18   2.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   2.50E-17   0.00E+00   1.00E-18   0.00E+00   0.00E+00
100   1170   1176   2.66E+08   5.00E-19   1.00E-19   5.00E-18   4.00E-17   1.00E-17   3.00E-17   1.00E-17   5.00E-18   2.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   2.50E-17   0.00E+00   3.50E-18   0.00E+00   0.00E+00
101   1176   1183   1.12E+08   1.00E-18   1.00E-19   5.00E-18   4.00E-17   1.00E-17   3.00E-17   1.00E-17   1.10E-17   2.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   2.50E-17   0.00E+00   3.20E-18   0.00E+00   0.00E+00
102   1183   1190   1.24E+08   1.00E-18   1.00E-19   5.00E-18   4.00E-17   2.00E-17   3.00E-17   1.00E-17   1.10E-17   2.00E-17   1.50E-17   2.00E-17   7.00E-18   1.60E-17   2.50E-17   0.00E+00   3.00E-18   0.00E+00   0.00E+00
103   1190   1198   1.82E+08   3.00E-18   1.00E-19   5.00E-18   4.00E-17   2.00E-17   3.00E-17   1.00E-17   1.10E-17   2.00E-17   1.00E-17   2.00E-17   7.00E-18   1.10E-17   2.50E-17   0.00E+00   3.00E-18   0.00E+00   0.00E+00
104   1198   1205   1.90E+08   4.00E-18   1.00E-19   5.00E-18   4.00E-17   2.00E-17   3.00E-17   1.00E-17   1.10E-17   2.00E-17   1.00E-17   2.00E-17   7.00E-18   1.10E-17   2.50E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
105   1205   1212   7.40E+08   1.00E-17   1.00E-19   5.00E-18   4.00E-17   2.00E-17   3.00E-17   1.00E-17   1.10E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.10E-17   2.50E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
106   1212   1220   3.00E+11   1.00E-18   5.00E-20   1.00E-17   3.19E-16   2.40E-17   3.40E-17   8.00E-18   1.44E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.67E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
107   1220   1227   3.67E+09   3.00E-19   1.00E-19   1.00E-17   1.60E-17   2.00E-17   2.50E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
108   1227   1235   1.36E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   2.00E-17   2.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
109   1235   1242   1.61E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   2.00E-17   2.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
110   1242   1250   1.32E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   2.00E-17   2.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
111   1250   1258   1.41E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   2.00E-17   1.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
112   1258   1266   3.11E+09   1.00E-17   3.00E-19   5.00E-18   2.67E-17   2.00E-17   1.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
113   1266   1274   1.06E+09   3.00E-18   3.00E-19   5.00E-18   2.67E-17   2.00E-17   1.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
114   1274   1282   1.37E+09   1.00E-18   3.00E-19   5.00E-18   2.67E-17   2.00E-17   1.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
115   1282   1290   1.02E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   2.00E-17   1.00E-17   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   7.00E-18   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
116   1290   1299   1.14E+09   3.00E-19   3.00E-19   5.00E-18   2.67E-17   1.00E-17   3.00E-18   3.00E-18   1.12E-17   2.00E-17   1.00E-17   4.00E-17   1.00E-17   1.40E-17   2.19E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
117   1299   1307   7.29E+09   4.00E-19   7.00E-19   5.00E-18   4.00E-17   1.00E-17   3.00E-18   5.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   1.20E-17   1.40E-17   1.88E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
118   1307   1316   2.20E+09   6.00E-19   7.00E-19   5.00E-18   4.00E-17   1.00E-17   3.00E-18   5.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   1.00E-17   1.40E-17   1.56E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
119   1316   1324   1.59E+09   9.00E-19   7.00E-19   4.00E-18   4.00E-17   1.00E-17   3.00E-18   5.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   1.00E-17   1.40E-17   1.56E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
120   1324   1333   2.21E+09   1.30E-18   7.00E-19   4.00E-18   4.00E-17   1.00E-17   3.00E-18   5.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   1.00E-17   1.40E-17   1.56E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
121   1333   1342   1.24E+10   2.00E-18   7.00E-19   3.00E-18   4.00E-17   1.00E-17   3.00E-18   7.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.40E-17   1.25E-17   0.00E+00   2.50E-18   0.00E+00   0.00E+00
122   1342   1351   1.99E+09   3.00E-18   7.00E-19   2.00E-18   4.00E-18   1.20E-16   3.00E-18   5.00E-18   1.12E-17   2.00E-17   1.00E-17   1.00E-17   7.00E-18   1.40E-17   9.38E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
123   1351   1360   3.09E+09   5.00E-18   7.00E-19   1.00E-18   5.33E-18   1.00E-17   1.00E-18   3.00E-18   1.12E-17   2.00E-17   8.00E-18   9.00E-18   7.00E-18   1.00E-17   6.25E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
124   1360   1370   2.57E+09   7.00E-18   6.00E-19   6.00E-19   5.33E-18   1.00E-17   1.00E-18   3.00E-18   1.12E-17   2.00E-17   8.00E-18   8.00E-18   7.00E-18   7.50E-18   5.31E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
125   1370   1379   2.74E+09   1.00E-17   5.00E-19   6.00E-19   5.33E-18   1.00E-17   1.00E-18   3.00E-18   1.12E-17   2.00E-17   8.00E-18   7.00E-18   1.00E-17   3.20E-18   4.38E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
126   1379   1389   3.10E+09   1.50E-17   5.00E-19   6.00E-19   5.33E-18   1.00E-17   1.00E-18   3.00E-18   1.12E-17   2.00E-17   8.00E-18   5.00E-18   2.00E-17   1.10E-18   3.75E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
127   1389   1408   7.60E+09   1.80E-17   5.00E-19   6.00E-19   5.33E-18   2.00E-17   1.00E-18   3.00E-18   1.12E-17   2.00E-17   8.00E-18   4.00E-18   2.00E-17   3.30E-19   3.13E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
128   1408   1428   1.01E+10   2.00E-17   5.00E-19   7.00E-19   5.33E-18   2.00E-17   1.00E-18   2.00E-18   1.12E-17   2.00E-17   8.00E-18   3.00E-18   2.10E-17   1.10E-19   2.50E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
129   1428   1449   1.30E+10   1.80E-17   5.00E-19   7.00E-19   5.33E-18   2.00E-17   1.00E-18   2.00E-18   1.12E-17   2.00E-17   8.00E-18   2.50E-18   5.20E-17   3.30E-20   1.88E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
130   1449   1470   1.82E+10   1.40E-16   5.00E-19   7.00E-19   8.00E-18   2.00E-17   5.00E-19   2.00E-18   1.12E-17   2.00E-17   8.00E-18   2.00E-18   1.05E-16   1.10E-20   1.25E-18   0.00E+00   2.50E-18   0.00E+00   0.00E+00
131   1470   1492   2.33E+10   1.00E-17   5.00E-19   1.00E-18   1.33E-17   2.00E-17   5.00E-19   2.00E-18   1.12E-17   2.00E-17   8.00E-18   1.40E-18   1.10E-16   1.10E-21   6.25E-19   0.00E+00   2.50E-18   0.00E+00   0.00E+00
132   1492   1515   2.66E+10   9.00E-18   3.00E-19   1.40E-18   2.00E-17   2.00E-17   5.00E-19   1.00E-18   1.12E-17   2.00E-17   8.00E-18   1.00E-18   1.10E-16   0.00E+00   3.13E-19   0.00E+00   2.00E-18   0.00E+00   0.00E+00
133   1515   1538   2.90E+10   8.00E-18   2.50E-19   1.80E-18   2.67E-17   2.00E-17   5.00E-19   1.00E-18   1.12E-17   1.00E-17   8.00E-18   7.00E-19   1.10E-16   0.00E+00   9.38E-20   0.00E+00   2.00E-18   0.00E+00   0.00E+00
134   1538   1562   3.60E+10   7.00E-18   2.00E-19   2.50E-18   1.33E-18   2.00E-17   2.00E-19   1.00E-18   4.80E-18   1.00E-17   8.00E-18   7.00E-19   6.10E-17   0.00E+00   3.13E-20   0.00E+00   2.00E-18   0.00E+00   0.00E+00
135   1562   1587   4.75E+10   6.00E-18   1.60E-19   3.30E-18   1.33E-18   2.00E-17   2.00E-19   7.00E-19   1.60E-18   1.00E-17   8.00E-18   4.00E-19   3.00E-17   0.00E+00   3.13E-21   0.00E+00   2.00E-18   0.00E+00   0.00E+00
136   1587   1613   6.40E+10   4.00E-18   1.30E-19   4.00E-18   1.33E-18   2.00E-17   2.00E-19   5.00E-19   1.03E-18   1.50E-17   8.00E-18   3.00E-19   2.70E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
137   1613   1639   5.49E+10   3.00E-18   1.00E-19   4.60E-18   1.33E-18   2.00E-17   2.00E-19   5.00E-19   1.03E-18   2.00E-17   8.00E-18   2.00E-19   2.80E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
138   1639   1667   1.19E+11   2.00E-18   7.00E-20   4.80E-18   1.33E-18   2.00E-17   1.00E-19   1.00E-18   1.03E-18   1.50E-17   6.00E-18   1.40E-19   3.73E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
139   1667   1695   1.76E+11   1.00E-18   3.00E-20   4.80E-18   1.33E-18   2.00E-17   1.00E-19   2.00E-18   1.03E-18   1.00E-17   6.00E-18   1.00E-19   2.51E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
140   1695   1724   2.32E+11   7.00E-19   1.50E-20   4.50E-18   1.33E-18   2.60E-16   1.00E-19   3.00E-18   1.03E-18   7.00E-18   6.00E-18   6.00E-20   1.91E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
141   1724   1739   1.44E+11   5.00E-19   1.00E-20   4.20E-18   1.33E-18   2.00E-17   5.00E-20   4.00E-18   1.03E-18   4.00E-18   6.00E-18   4.00E-20   1.31E-17   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
142   1739   1754   1.83E+11   3.00E-19   7.00E-21   3.80E-18   1.33E-18   1.00E-17   5.00E-20   5.00E-18   1.03E-18   2.00E-18   6.00E-18   2.00E-20   6.10E-18   0.00E+00   3.13E-22   0.00E+00   2.00E-18   0.00E+00   0.00E+00
143   1754   1770   1.74E+11   1.90E-19   4.50E-21   2.80E-18   1.10E-18   5.00E-18   0.00E+00   2.00E-18   5.00E-19   3.00E-18   5.00E-18   3.00E-20   3.30E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
144   1770   1786   2.10E+11   1.20E-19   2.60E-21   2.00E-18   9.00E-19   3.10E-18   0.00E+00   3.00E-18   5.50E-19   3.00E-18   5.00E-18   2.00E-20   4.10E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
145   1786   1802   2.38E+11   3.80E-20   1.70E-21   1.50E-18   7.50E-19   2.00E-18   0.00E+00   4.00E-18   6.00E-19   1.00E-17   5.00E-18   1.00E-20   5.00E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
146   1802   1818   3.04E+11   4.80E-20   1.10E-21   1.00E-18   6.00E-19   1.00E-18   0.00E+00   5.00E-18   6.50E-19   3.00E-17   5.00E-18   1.00E-20   6.00E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
147   1818   1835   3.19E+11   2.30E-20   6.80E-22   5.80E-19   5.00E-19   8.00E-19   0.00E+00   6.00E-18   6.50E-19   1.00E-17   5.00E-18   3.00E-21   7.00E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
148   1835   1852   2.93E+11   7.70E-21   4.50E-22   2.70E-19   4.00E-19   5.00E-19   0.00E+00   7.00E-18   7.00E-19   1.00E-18   5.00E-18   0.00E+00   8.00E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
149   1852   1869   3.62E+11   5.80E-21   2.60E-22   9.00E-20   3.00E-19   3.00E-19   0.00E+00   8.00E-18   7.00E-19   3.00E-19   5.00E-18   0.00E+00   9.00E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
150   1869   1887   4.73E+11   2.30E-21   1.40E-22   2.30E-20   2.00E-19   1.50E-19   0.00E+00   8.00E-18   6.50E-19   1.00E-19   5.00E-18   0.00E+00   1.00E-17   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
151   1887   1905   5.61E+11   1.20E-21   8.20E-23   8.40E-21   1.60E-19   8.00E-20   0.00E+00   8.00E-18   5.50E-19   3.00E-20   4.00E-18   0.00E+00   1.05E-17   0.00E+00   0.00E+00   0.00E+00   1.00E-18   0.00E+00   0.00E+00
152   1905   1923   6.63E+11   5.60E-22   4.40E-23   3.10E-21   1.40E-19   5.00E-20   0.00E+00   8.00E-18   4.40E-19   1.00E-20   4.00E-18   0.00E+00   1.10E-17   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
153   1923   1942   6.90E+11   4.40E-22   2.50E-23   1.10E-21   1.10E-19   2.00E-20   0.00E+00   8.00E-18   3.30E-19   1.00E-20   4.00E-18   0.00E+00   1.15E-17   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
154   1942   1961   9.56E+11   1.10E-22   1.40E-23   6.40E-22   1.30E-19   1.00E-20   0.00E+00   7.00E-18   2.50E-19   1.00E-20   4.00E-18   0.00E+00   1.20E-17   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
155   1961   1980   1.15E+12   4.50E-23   7.00E-24   3.10E-22   8.00E-20   3.00E-21   0.00E+00   6.00E-18   1.70E-19   1.00E-20   4.00E-18   0.00E+00   1.10E-17   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
156   1980   2000   1.27E+12   2.60E-23   3.50E-24   1.10E-22   5.60E-20   1.00E-21   0.00E+00   5.00E-18   1.00E-19   1.00E-20   4.00E-18   0.00E+00   1.03E-17   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
157   2000   2020   1.52E+12   2.10E-23   1.40E-24   4.00E-23   4.00E-20   3.00E-22   0.00E+00   4.50E-18   6.00E-20   7.60E-21   4.00E-18   0.00E+00   9.00E-18   0.00E+00   0.00E+00   0.00E+00   5.00E-19   0.00E+00   0.00E+00
158   2020   2041   1.78E+12   2.00E-23   7.00E-25   2.00E-23   2.80E-20   1.00E-22   0.00E+00   4.00E-18   3.00E-20   7.60E-21   3.80E-18   0.00E+00   7.20E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
159   2041   2062   2.20E+12   2.00E-23   4.00E-25   1.00E-23   2.00E-20   3.00E-23   0.00E+00   3.00E-18   1.00E-20   6.40E-21   3.60E-18   0.00E+00   6.00E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
160   2062   2083   2.69E+12   0.00E+00   2.00E-25   4.50E-24   1.40E-20   1.00E-23   0.00E+00   2.00E-18   0.00E+00   5.40E-21   3.40E-18   0.00E+00   4.40E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
161   2083   2105   4.54E+12   0.00E+00   1.00E-25   2.00E-24   1.00E-20   0.00E+00   0.00E+00   1.30E-18   0.00E+00   4.50E-21   3.20E-18   0.00E+00   3.80E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
162   2105   2128   7.14E+12   0.00E+00   5.00E-26   1.00E-24   7.00E-21   0.00E+00   0.00E+00   8.00E-19   0.00E+00   3.70E-21   3.00E-18   0.00E+00   3.10E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
163   2128   2151   8.35E+12   0.00E+00   0.00E+00   5.00E-25   5.00E-21   0.00E+00   0.00E+00   5.00E-19   0.00E+00   2.50E-21   2.60E-18   0.00E+00   2.30E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
164   2151   2174   8.39E+12   0.00E+00   0.00E+00   2.50E-25   3.00E-21   0.00E+00   0.00E+00   3.00E-19   0.00E+00   1.00E-21   2.30E-18   0.00E+00   1.90E-18   0.00E+00   0.00E+00   0.00E+00   3.00E-19   0.00E+00   0.00E+00
165   2174   2200   1.08E+13   0.00E+00   0.00E+00   1.00E-25   2.00E-21   0.00E+00   0.00E+00   1.50E-19   0.00E+00   3.80E-22   2.00E-18   0.00E+00   1.40E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
166   2200   2222   1.18E+13   0.00E+00   0.00E+00   5.00E-26   1.60E-21   0.00E+00   0.00E+00   8.00E-20   0.00E+00   3.80E-22   1.70E-18   0.00E+00   1.10E-18   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
167   2222   2247   1.60E+13   0.00E+00   0.00E+00   2.50E-26   1.30E-21   0.00E+00   0.00E+00   6.00E-21   0.00E+00   3.80E-22   1.30E-18   0.00E+00   9.50E-19   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
168   2247   2273   1.34E+13   0.00E+00   0.00E+00   1.00E-26   8.00E-22   0.00E+00   0.00E+00   2.00E-21   0.00E+00   3.80E-22   1.00E-18   0.00E+00   6.50E-19   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
169   2273   2299   1.41E+13   0.00E+00   0.00E+00   0.00E+00   5.00E-22   0.00E+00   0.00E+00   7.00E-23   0.00E+00   6.20E-22   7.00E-19   0.00E+00   4.50E-19   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
170   2299   2326   1.57E+13   0.00E+00   0.00E+00   0.00E+00   2.50E-22   0.00E+00   0.00E+00   2.00E-23   0.00E+00   1.20E-21   5.00E-19   0.00E+00   3.10E-19   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
171   2326   2353   1.38E+13   0.00E+00   0.00E+00   0.00E+00   1.00E-22   0.00E+00   0.00E+00   0.00E+00   0.00E+00   2.00E-21   4.00E-19   0.00E+00   2.00E-19   0.00E+00   0.00E+00   0.00E+00   2.00E-19   0.00E+00   0.00E+00
172   2353   2381   1.60E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   2.80E-21   3.00E-19   0.00E+00   1.30E-19   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
173   2381   2410   1.45E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   4.00E-21   2.00E-19   0.00E+00   9.00E-20   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
174   2410   2439   2.20E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   5.60E-21   1.40E-19   0.00E+00   5.20E-20   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
175   2439   2469   1.99E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   7.40E-21   1.00E-19   0.00E+00   3.20E-20   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
176   2469   2500   1.97E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.00E-20   6.00E-20   0.00E+00   2.00E-20   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
177   2500   2532   1.94E+13   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.30E-20   3.00E-20   0.00E+00   1.10E-20   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
