bin   short   long    flux        O2         CO2        H2O       C2H2        C2H4        HCN       NH3       CH3OH     CH3CHO      N2H4       CH3CN      OCS        CH4       C2H6         H2         NO         N2         CO
 16    128    153   3.07E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   6.00E-20   0.00E+00   1.00E-20   3.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-20   1.00E-20   3.13E-20   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 17    153    176   9.00E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   6.00E-20   0.00E+00   1.00E-20   3.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-20   1.00E-20   3.13E-20   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 18    176    205   9.70E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   6.00E-20   0.00E+00   1.00E-20   3.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-20   1.00E-20   3.13E-19   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 19    205    231   1.40E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-19   0.00E+00   1.00E-20   3.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-20   1.00E-20   6.25E-19   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 20    231    270   2.65E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-19   0.00E+00   1.00E-20   3.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-20   1.00E-20   9.38E-19   1.00E-20   0.00E+00   0.00E+00   0.00E+00
 21    270    280   4.50E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   4.00E-19   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   3.00E-20   0.00E+00   0.00E+00   0.00E+00
 22    280    300   1.54E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   4.00E-19   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   1.00E-19   0.00E+00   0.00E+00   0.00E+00
 23    300    320   5.84E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   8.00E-19   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   4.00E-19   0.00E+00   0.00E+00   0.00E+00
 24    320    340   1.16E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   4.00E-19   0.00E+00   0.00E+00   0.00E+00
 25    340    360   4.50E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   1.00E-18   0.00E+00   0.00E+00   0.00E+00
 26    360    370   1.31E+09   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-20   1.00E-18   1.00E-18   1.00E-18   1.00E-20   1.00E-20   9.38E-19   1.00E-18   0.00E+00   0.00E+00   0.00E+00
 27    370    400   1.77E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-20   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   1.00E-18   0.00E+00   0.00E+00   0.00E+00
 28    400    430   2.76E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-20   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   2.00E-18   0.00E+00   0.00E+00   0.00E+00
 29    430    460   1.77E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-19   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   2.00E-18   0.00E+00   0.00E+00   0.00E+00
 30    460    480   2.12E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-19   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   0.00E+00   0.00E+00   0.00E+00
 31    480    500   4.32E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-20   3.00E-19   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   0.00E+00   0.00E+00   0.00E+00
 32    500    520   6.32E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   2.00E-18   0.00E+00   1.00E-19   1.20E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   0.00E+00   1.00E-18   0.00E+00
 33    520    540   2.42E+08   1.00E-20   0.00E+00   1.00E-19   0.00E+00   4.00E-18   0.00E+00   1.00E-19   2.10E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   0.00E+00   1.00E-18   0.00E+00
 34    540    560   3.62E+08   4.00E-18   0.00E+00   1.00E-19   0.00E+00   4.00E-18   0.00E+00   1.00E-19   2.10E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   0.00E+00   1.00E-18   0.00E+00
 35    560    580   5.17E+07   4.00E-18   1.00E-20   1.00E-19   0.00E+00   4.00E-18   0.00E+00   1.00E-19   2.10E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   5.00E-18   0.00E+00   1.00E-18   0.00E+00
 36    580    600   1.02E+09   4.00E-18   1.00E-20   1.00E-19   1.00E-18   4.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   5.00E-18   1.00E-18   1.00E-18   0.00E+00
 37    600    620   5.20E+08   4.00E-18   1.00E-20   1.00E-18   1.00E-18   4.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   5.00E-18   1.00E-18   1.00E-18   0.00E+00
 38    620    630   1.20E+09   4.00E-18   1.00E-20   2.00E-18   1.00E-18   4.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   5.00E-18   1.00E-18   1.00E-18   0.00E+00
 39    630    680   1.15E+08   4.00E-18   1.00E-20   3.00E-18   1.00E-18   4.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   5.00E-18   1.00E-18   1.00E-18   0.00E+00
 40    680    710   3.39E+08   4.00E-18   1.00E-20   4.00E-18   1.00E-18   6.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   4.00E-18   1.00E-18   1.00E-18   0.00E+00
 41    710    740   1.59E+08   4.00E-18   1.00E-20   4.00E-18   1.00E-18   6.00E-18   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.00E-20   9.38E-19   3.00E-18   1.00E-17   2.00E-18   0.00E+00
 42    740    770   5.19E+08   4.00E-18   1.00E-20   4.00E-18   1.00E-18   1.00E-17   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-20   1.10E-18   9.38E-19   2.50E-18   1.00E-17   4.00E-18   0.00E+00
 43    770    780   4.00E+08   1.00E-17   1.01E-17   4.00E-18   1.00E-18   1.00E-17   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-19   1.30E-18   1.56E-18   5.00E-18   1.00E-17   5.00E-18   0.00E+00
 44    780    790   5.00E+08   2.00E-17   8.10E-18   4.00E-18   1.00E-18   2.00E-17   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-19   1.00E-18   3.13E-18   7.50E-18   1.00E-17   5.00E-18   0.00E+00
 45    790    800   4.00E+08   2.00E-17   6.10E-18   4.00E-18   1.00E-18   2.00E-17   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-19   2.00E-18   6.25E-18   3.00E-18   1.00E-17   1.00E-17   0.00E+00
 46    800    830   8.07E+08   2.00E-17   5.10E-18   8.00E-18   1.00E-18   2.00E-17   0.00E+00   1.00E-19   3.00E-18   1.00E-17   1.00E-17   1.00E-17   2.00E-19   5.00E-18   9.38E-18   1.05E-17   2.00E-17   1.00E-17   0.00E+00
 47    830    836   7.00E+08   3.00E-18   3.00E-18   9.00E-18   1.00E-18   2.00E-17   1.00E-19   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   8.00E-18   1.25E-17   1.00E-18   2.00E-17   5.00E-18   0.00E+00
 48    836    860   1.40E+09   3.00E-18   4.00E-18   1.00E-17   1.00E-18   2.00E-17   1.00E-18   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   8.00E-18   1.25E-17   1.50E-17   2.00E-17   5.00E-18   0.00E+00
 49    860    865   3.50E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   1.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   1.00E-17   1.25E-17   1.00E-18   2.00E-17   5.00E-18   0.00E+00
 50    865    870   3.90E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   1.20E-17   1.25E-17   3.00E-17   2.00E-17   5.00E-18   0.00E+00
 51    870    875   4.30E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   1.40E-17   1.25E-17   1.00E-18   2.00E-17   5.00E-18   0.00E+00
 52    875    880   4.70E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   1.60E-17   1.25E-17   1.50E-17   2.00E-17   5.00E-18   0.00E+00
 53    880    885   5.10E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   1.80E-17   1.25E-17   1.00E-18   2.00E-17   5.00E-18   0.00E+00
 54    885    890   5.50E+08   3.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   3.00E-19   2.00E-17   1.25E-17   3.00E-17   2.00E-17   5.00E-18   0.00E+00
 55    890    895   5.90E+09   2.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   2.50E-17   1.25E-17   1.00E-18   2.00E-17   5.00E-18   6.00E-17
