bin   short   long     flux       H         H2          O          O2         CO        CO2         C           S          N          N2         NO        CH4        HCN       C2H2      H2O        He
 25    340    360   4.50E+08   3.89E-19   1.50E-18   9.00E-18   1.80E-17   1.80E-17   1.80E-17   9.00E-18   1.80E-17   9.00E-18   1.80E-17   1.80E-17   1.80E-17   1.80E-17   1.80E-17   1.80E-17   2.00E-19
 26    360    370   1.31E+09   4.23E-19   2.50E-18   9.50E-18   1.90E-17   1.90E-17   1.90E-17   9.50E-18   1.90E-17   9.50E-18   1.90E-17   1.90E-17   1.90E-17   1.90E-17   1.90E-17   1.90E-17   3.82E-19
 27    370    400   1.77E+08   5.34E-19   2.50E-18   1.00E-17   2.00E-17   2.00E-17   2.00E-17   1.00E-17   2.00E-17   1.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   1.69E-19
 28    400    430   2.76E+08   6.63E-19   2.50E-18   1.00E-17   2.00E-17   2.00E-17   2.00E-17   1.00E-17   2.00E-17   1.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.54E-19
 29    430    460   1.77E+08   8.12E-19   2.50E-18   1.00E-17   2.00E-17   2.00E-17   2.00E-17   1.00E-17   2.00E-17   1.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.00E-17   2.82E-19
 30    460    480   2.12E+08   9.23E-19   3.50E-18   1.10E-17   2.20E-17   2.20E-17   2.20E-17   1.10E-17   2.20E-17   1.10E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   4.72E-19
 31    480    500   4.32E+08   1.04E-18   3.30E-18   1.10E-17   2.20E-17   2.20E-17   2.20E-17   1.10E-17   2.20E-17   1.10E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   4.63E-19
 32    500    520   6.32E+08   1.17E-18   3.30E-18   1.50E-17   2.20E-17   2.20E-17   2.20E-17   1.50E-17   2.20E-17   1.00E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   2.20E-17   1.11E-19
 33    520    540   2.42E+08   1.31E-18   4.30E-18   1.50E-17   2.50E-27   1.50E-17   3.00E-17   1.50E-17   1.50E-17   1.00E-17   1.50E-17   2.50E-17   2.50E-17   2.00E-17   2.00E-17   2.00E-17   0.00E+00
 34    540    560   3.62E+08   1.47E-18   4.30E-18   1.50E-17   2.50E-27   1.50E-17   3.00E-17   1.50E-17   1.50E-17   1.00E-17   1.50E-17   2.50E-17   2.50E-17   2.00E-17   3.00E-17   2.00E-17   0.00E+00
 35    560    580   5.17E+07   1.63E-18   5.30E-18   1.50E-17   2.50E-27   1.50E-17   3.00E-17   1.50E-17   1.50E-17   1.00E-17   1.50E-17   2.50E-17   3.00E-17   2.00E-17   3.00E-17   2.00E-17   0.00E+00
 36    580    600   1.02E+09   1.80E-18   6.30E-18   1.50E-17   2.50E-27   2.00E-17   3.00E-17   1.50E-17   2.00E-17   1.00E-17   1.50E-17   2.50E-17   3.00E-17   2.00E-17   3.00E-17   2.00E-17   0.00E+00
 37    600    620   5.20E+08   1.99E-18   6.30E-18   1.50E-17   2.50E-27   2.00E-17   3.00E-17   1.50E-17   2.00E-17   1.00E-17   1.50E-17   2.50E-17   3.00E-17   2.00E-17   3.00E-17   2.00E-17   0.00E+00
 38    620    630   1.20E+09   2.09E-18   7.10E-18   1.50E-17   2.50E-27   2.00E-17   4.00E-17   1.50E-17   2.00E-17   1.00E-17   1.50E-17   2.50E-17   3.00E-17   2.00E-17   4.00E-17   1.93E-17   0.00E+00
 39    630    680   1.15E+08   2.62E-18   8.10E-18   1.50E-17   2.50E-27   2.00E-17   4.00E-17   1.50E-17   2.00E-17   1.00E-17   1.50E-17   2.50E-17   3.00E-17   2.00E-17   4.00E-17   1.86E-17   0.00E+00
 40    680    710   3.39E+08   2.99E-18   8.10E-18   1.50E-17   2.50E-27   2.00E-17   4.00E-17   1.50E-17   3.00E-17   1.00E-17   1.50E-17   2.00E-17   4.00E-17   2.00E-17   4.00E-17   1.83E-17   0.00E+00
 41    710    740   1.59E+08   3.38E-18   8.10E-18   1.50E-17   2.50E-27   2.00E-17   4.00E-17   1.50E-17   3.00E-17   1.00E-17   1.20E-17   2.00E-17   4.00E-17   3.00E-17   4.00E-17   1.66E-17   0.00E+00
 42    740    770   5.19E+08   3.81E-18   8.00E-18   5.00E-18   1.00E-17   2.00E-17   4.00E-17   1.50E-17   3.00E-17   1.00E-17   1.00E-17   1.50E-17   4.00E-17   3.00E-17   4.00E-17   1.55E-17   0.00E+00
